pm25,recorded_at
21.0,2026-07-14T09:00:00Z
12.0,2026-07-14T09:00:00Z
10.0,2026-07-14T09:00:00Z
17.0,2026-07-14T09:00:00Z
16.0,2026-04-03T20:00:00Z
6.0,2026-07-14T09:00:00Z
9.0,2026-07-14T09:00:00Z
33.0,2026-07-14T10:00:00Z
10.0,2026-07-14T09:00:00Z
14.0,2026-07-14T09:00:00Z
0.0,2026-07-14T09:00:00Z
3.0,2026-07-14T09:00:00Z
8.0,2026-07-14T09:00:00Z
5.0,2026-07-14T09:00:00Z
5.1,2024-03-11T12:00:00Z
4.0,2026-07-14T09:00:00Z
8.0,2026-07-14T09:00:00Z
18.0,2026-07-14T09:00:00Z
8.0,2026-07-14T09:00:00Z
7.0,2026-07-14T09:00:00Z
37.0,2021-08-09T11:00:00Z
5.946,2024-03-12T10:00:00Z
8.0,2026-07-14T09:00:00Z
11.0,2017-11-18T03:00:00Z
11.0,2026-04-03T20:00:00Z
2.0,2026-07-14T09:00:00Z
3.0,2026-07-14T09:00:00Z
24.7,2026-07-14T08:00:00Z
11.0,2026-07-14T09:00:00Z
10.0,2026-07-14T09:00:00Z
5.0,2026-07-14T09:00:00Z
10.0,2026-07-14T09:00:00Z
6.0,2026-07-14T09:00:00Z
7.0,2026-07-14T09:00:00Z
8.0,2026-07-14T09:00:00Z
44.0,2024-04-23T15:00:00Z
5.0,2026-07-14T09:00:00Z
8.0,2026-07-14T09:00:00Z
0.0,2026-07-14T09:00:00Z
15.0,2026-07-14T09:00:00Z
18.0,2026-07-14T09:00:00Z
13.0,2026-07-14T09:00:00Z
27.0,2024-01-15T12:00:00Z
4.0,2026-07-14T09:00:00Z
7.0,2026-07-14T09:00:00Z
9.0,2026-07-14T10:00:00Z
21.7,2026-07-14T08:00:00Z
2.0,2026-07-14T09:00:00Z
11.0,2026-07-14T09:00:00Z
7.0,2026-07-14T09:00:00Z
18.0,2026-01-02T05:00:00Z
24.0,2020-06-10T21:00:00Z
4.0,2026-07-14T09:00:00Z
11.6,2024-01-29T17:00:00Z
8.0,2026-07-14T09:00:00Z
14.0,2026-07-14T09:00:00Z
11.0,2026-07-14T09:00:00Z
3.0,2026-07-14T09:00:00Z
7.0,2026-07-14T09:00:00Z
21.0,2024-04-12T22:00:00Z
13.0,2026-07-14T09:00:00Z
7.0,2026-07-14T09:00:00Z
12.0,2026-07-14T09:00:00Z
30.0,2024-07-11T16:00:00Z
8.9,2026-07-14T10:00:00Z
20.0,2026-07-14T09:00:00Z
24.0,2024-04-12T22:00:00Z
6.0,2026-07-14T09:00:00Z
17.0,2026-07-14T09:00:00Z
5.8,2026-07-14T10:00:00Z
10.0,2026-07-14T09:00:00Z
5.0,2026-07-14T09:00:00Z
14.0,2026-07-14T09:00:00Z
17.1,2024-01-12T10:00:00Z
10.0,2026-07-14T09:00:00Z
8.0,2026-07-14T09:00:00Z
6.0,2026-07-14T09:00:00Z
3.0,2026-07-14T09:00:00Z
2.0,2026-07-14T09:00:00Z
14.1,2025-12-09T23:00:00Z
13.0,2026-07-14T09:00:00Z
7.0,2026-07-14T09:00:00Z
